Financial Instrument,Volume ($),Change %,Sector,Volume/Min,Average Volume ($),Average Volume,Industry,Category,Bid,Imbalance,Ask,
GTIM,204610.0,-0.060913705583756396,"Consumer, Cyclical",2000.0000000000002,400340.0,108200.0,Retail,Retail-Restaurants,3.70,NoMD,3.73,
HBP,150126.0,-0.029629629629629547,"Consumer, Cyclical",100.0,234621.0,59700.0,Retail,Retail-Building Products,3.93,NoMD,3.99,
HD,663654772.00,-0.009462630303496696,"Consumer, Cyclical",6300.000000000001,1067739463.00,4146400.0,Retail,Retail-Building Products,257.45,NoMD,257.59,
HVT A,51632.0,-0.004588394062078318,"Consumer, Cyclical",0.0,22128.0,600.0,Retail,Retail-Home Furnishings,37.02,NoMD,37.27,
HZO,29527073.00,-0.1405458089668616,"Consumer, Cyclical",2121.3203435596424,22371266.00,507400.0,Retail,Retail-Leisure Products,44.09,NoMD,44.23,
INT,2358706.0,-0.008901251738525738,"Consumer, Cyclical",600.0000000000001,13856507.00,388900.0,Retail,Retail-Petroleum Prod,35.56,NoMD,35.63,
JACK,9419760.0,-0.011797362942401086,"Consumer, Cyclical",1600.0,35645568.00,357600.0,Retail,Retail-Restaurants,99.58,NoMD,99.77,
JAX,119848.0,-0.0197444831591173,"Consumer, Cyclical",0.0,418624.0,49600.0,Retail,Retail-Restaurants,8.40,NoMD,8.45,
JILL,1519560.0,0.0075187969924812095,"Consumer, Cyclical",4200.0,2217968.0,413800.0,Retail,Retail-Apparel/Shoe,5.32,NoMD,5.36,
JWN,51781498.00,-0.006953730944102648,"Consumer, Cyclical",4600.0,201211183.00,5419100.0,Retail,Retail-Major Dept Store,37.08,NoMD,37.12,
KIRK,11532834.00,-0.043046357615893975,"Consumer, Cyclical",2333.4523779156075,27118026.00,1042600.0,Retail,Retail-Home Furnishings,26.00,NoMD,26.10,
KMX,40551016.00,-0.014445173998686844,"Consumer, Cyclical",1250.0000000000005,183290112.00,1526400.0,Retail,Retail-Automobile,120.12,NoMD,120.25,
LAD,19616660.00,-0.02182616556890106,"Consumer, Cyclical",2000.0000000000002,108346070.00,286100.0,Retail,Retail-Automobile,376.79,NoMD,378.71,
LAZY,811008.0,-0.0469986040018614,"Consumer, Cyclical",3818.3766184073565,3076096.0,150200.0,Retail,Retail-Automobile,20.35,NoMD,20.62,
LL,4311234.0,-0.018972332015810292,"Consumer, Cyclical",3400.0,12275972.00,494600.0,Retail,Retail-Floor Coverings,24.80,NoMD,24.84,
LMPX,1284040.0,-0.055750878955298816,"Consumer, Cyclical",0.0,4072080.0,216600.0,Retail,Retail-Automobile,18.66,NoMD,18.77,
LOCO,398348.0,-0.01571503404924048,"Consumer, Cyclical",353.5533905932739,4477657.0,238300.0,Retail,Retail-Restaurants,18.74,NoMD,18.84,
LOW,492360927.00,-0.015525845604091,"Consumer, Cyclical",7353.910524340095,697978698.00,4368100.0,Retail,Retail-Building Products,159.74,NoMD,159.80,
LUB,40960.0,-0.006211180124223607,"Consumer, Cyclical",0.0,300480.0,93900.0,Retail,Retail-Restaurants,3.20,NoMD,3.21,
LULU,143305308.00,-0.006232294617563618,"Consumer, Cyclical",2400.0,490439448.00,1553400.0,Retail,Retail-Apparel/Shoe,315.23,NoMD,316.11,
MCD,212710036.00,-0.01073756271393066,"Consumer, Cyclical",5091.168824543142,670578832.00,3178400.0,Retail,Retail-Restaurants,210.93,NoMD,211.00,
MOV,1279564.0,0.0022401433691756592,"Consumer, Cyclical",75.0,4601509.0,205700.0,Retail,Retail-Jewelry,22.23,NoMD,22.37,
MUSA,7584000.0,-0.01095461658841934,"Consumer, Cyclical",500.0000000000001,34722080.00,274700.0,Retail,Retail-Petroleum Prod,126.10,NoMD,126.40,
NDLS,721395.0,-0.014629049111807792,"Consumer, Cyclical",159.09902576697334,2280174.0,241800.0,Retail,Retail-Restaurants,9.41,NoMD,9.46,
OLLI,26726313.00,-0.03443935926773461,"Consumer, Cyclical",3400.0,118027854.00,1398600.0,Retail,Retail-Discount,84.34,NoMD,84.44,
ORLY,125573409.00,-0.022155439050606584,"Consumer, Cyclical",1800.0,281548332.00,631600.0,Retail,Retail-Auto Parts,445.59,NoMD,445.94,
PAG,5214928.0,-0.019726421886249165,"Consumer, Cyclical",424.26406871192864,22139616.00,325200.0,Retail,Retail-Automobile,68.01,NoMD,68.14,
PBPB,240792.0,-0.021194605009633972,"Consumer, Cyclical",900.0000000000001,612648.0,120600.0,Retail,Retail-Restaurants,5.05,NoMD,5.08,
PLAY,21972378.00,-0.05406698564593313,"Consumer, Cyclical",4100.000000000001,82773036.00,2093400.0,Retail,Retail-Restaurants,39.50,NoMD,39.58,
PLCE,7892784.0,-0.010649627263045755,"Consumer, Cyclical",600.0,46026376.00,619300.0,Retail,Retail-Apparel/Shoe,74.26,NoMD,74.51,
PRTY,3731177.0,-0.033659730722154155,"Consumer, Cyclical",2600.0,29834415.00,3778900.0,Retail,Retail-Misc/Diversified,7.89,NoMD,7.90,
