Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
FATBP,2020-07-15 14:30:00,0,0,18.24,18.24,18.24,1,,1
FATBP,2020-07-15 14:31:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:32:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:33:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:34:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:35:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:36:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:37:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:38:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:39:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:40:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:41:00,0,0,18.24,18.24,18.24,,,1
FATBP,2020-07-15 14:42:00,0,0,18.0,18.0,18.0,1,,1
FATBP,2020-07-15 14:43:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:44:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:45:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:46:00,0,0,17.5,17.5,17.5,5,,1
FATBP,2020-07-15 14:47:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 14:48:00,0,0,18.0,18.0,18.0,1,,1
FATBP,2020-07-15 14:49:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:50:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:51:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:52:00,0,0,18.0,18.0,18.0,,,1
FATBP,2020-07-15 14:53:00,0,0,17.71,17.71,17.71,6,,1
FATBP,2020-07-15 14:54:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 14:55:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 14:56:00,0,0,17.5,17.5,17.5,7,,1
FATBP,2020-07-15 14:57:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 14:58:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 14:59:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:00:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:01:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:02:00,0,0,17.5,17.5,17.5,10,,1
FATBP,2020-07-15 15:03:00,0,0,17.75,17.75,17.75,6,,1
FATBP,2020-07-15 15:04:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:05:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:06:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:07:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:08:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:09:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:10:00,0,0,17.75,17.75,17.75,,,1
FATBP,2020-07-15 15:11:00,0,0,17.5,17.5,17.5,17,,1
FATBP,2020-07-15 15:12:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:13:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:14:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:15:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:16:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:17:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:18:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:19:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:20:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:21:00,0,0,17.5,17.5,17.5,,,1
FATBP,2020-07-15 15:22:00,0,0,17.5,17.5,17.5,,,1
