Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
QRTEP,2020-09-01 20:35:00,0,0,101.0,101.0,101.0,1,,
QRTEP,2020-09-01 20:36:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:37:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:38:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:39:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:40:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:41:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:42:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:43:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:44:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:45:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:46:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:47:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:48:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:49:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:50:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:51:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:52:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:53:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:54:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:55:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:56:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:57:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:58:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-01 20:59:00,0,0,101.0,101.0,101.0,,,
QRTEP,2020-09-03 15:31:00,101.0,102.53,102.53,102.53,102.53,1,0.04,
QRTEP,2020-09-03 15:32:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:33:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:34:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:35:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:36:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:37:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:38:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:39:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:40:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:41:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:42:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:43:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:44:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:45:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:46:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:47:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:48:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:49:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:50:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:51:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:52:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:53:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:54:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:55:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:56:00,101.0,102.53,102.53,102.53,102.53,,0.04,
QRTEP,2020-09-03 15:57:00,101.0,102.53,102.53,102.53,102.53,,0.04,
