Financial Instrument,Volume ($),Average Volume,Last,Sector,Volume/Min,Average Volume ($),Industry,Category,
DIN,27721650.00,369900.0,79.25,"Consumer, Cyclical",NoMD,29314575.00,Retail,Retail-Restaurants,
JACK,45146585.00,363700.0,102.35,"Consumer, Cyclical",NoMD,37224695.00,Retail,Retail-Restaurants,
TAST,2051142.0,361600.0,6.18,"Consumer, Cyclical",NoMD,2234688.0,Retail,Retail-Restaurants,
SPH,7978168.0,342400.0,14.96,"Consumer, Cyclical",NoMD,5122304.0,Retail,Retail-Propane Distrib,
BJRI,10234179.00,333200.0,55.53,"Consumer, Cyclical",NoMD,18502596.00,Retail,Retail-Restaurants,
DLTH,2239596.0,331000.0,13.98,"Consumer, Cyclical",NoMD,4627380.0,Retail,Retail-Apparel/Shoe,
SAH,31921953.00,330600.0,46.11,"Consumer, Cyclical",NoMD,15243966.00,Retail,Retail-Automobile,
FCFS,12600680.00,327800.0,63.32,"Consumer, Cyclical",NoMD,20756296.00,Retail,Retail-Pawn Shops,
PAG,14425356.00,324400.0,67.98,"Consumer, Cyclical",NoMD,22052712.00,Retail,Retail-Automobile,
FRPT,94338576.00,307100.0,155.88,"Consumer, Cyclical",NoMD,47870748.00,Retail,Retail-Pet Food&Supplies,
CBRL,29936371.00,304900.0,154.87,"Consumer, Cyclical",NoMD,47219863.00,Retail,Retail-Restaurants,
GMS,16594440.00,303500.0,36.60,"Consumer, Cyclical",NoMD,11108100.00,Retail,Retail-Building Products,
MUSA,30751155.00,276200.0,124.65,"Consumer, Cyclical",NoMD,34428330.00,Retail,Retail-Petroleum Prod,
TACO,3492000.0,267900.0,10.00,"Consumer, Cyclical",NoMD,2679000.0,Retail,Retail-Restaurants,
TLYS,1698672.0,266000.0,10.32,"Consumer, Cyclical",NoMD,2745120.0,Retail,Retail-Apparel/Shoe,
ASPN,6844100.0,259000.0,22.25,"Consumer, Cyclical",NoMD,5762750.0,Retail,Retail-Building Products,
ZUMZ,11017552.00,257700.0,45.08,"Consumer, Cyclical",NoMD,11617115.00,Retail,Retail-Sporting Goods,
NDLS,4127168.0,248700.0,9.44,"Consumer, Cyclical",NoMD,2347728.0,Retail,Retail-Restaurants,
LOCO,2630355.0,237300.0,18.33,"Consumer, Cyclical",NoMD,4349709.0,Retail,Retail-Restaurants,
OPRX,17384542.00,231700.0,53.18,"Consumer, Cyclical",NoMD,12321806.00,Retail,Retail-Drug Store,
GCO,6839868.0,229300.0,44.94,"Consumer, Cyclical",NoMD,10304742.00,Retail,Retail-Apparel/Shoe,
