Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
FFBC,SMART,USD,1,1,0,0,0,1,100
BHLB,SMART,USD,1,1,0,0,0,1,100
BRKL,SMART,USD,1,1,0,0,0,1,100
LBAI,SMART,USD,1,1,0,0,0,1,100
GLYC,SMART,USD,1,1,0,0,0,1,100
CNET,SMART,USD,1,1,0,0,0,1,100
COHR,SMART,USD,1,1,0,0,0,1,100
CSCO,SMART,USD,1,1,0,0,0,1,100
COUP,SMART,USD,1,1,0,0,0,1,100
MT,SMART,USD,1,1,0,0,0,1,100
XNCR,SMART,USD,1,1,0,0,0,1,100
SPPI,SMART,USD,1,1,0,0,0,1,100
DRQ,SMART,USD,1,1,0,0,0,1,100
LPG,SMART,USD,1,1,0,0,0,1,100
INCY,SMART,USD,1,1,0,0,0,1,100
DRNA,SMART,USD,1,1,0,0,0,1,100
VRNT,SMART,USD,1,1,0,0,0,1,100
RBC,SMART,USD,1,1,0,0,0,1,100
AIZ,SMART,USD,1,1,0,0,0,1,100
NBRV,SMART,USD,1,1,0,0,0,1,100
DXCM,SMART,USD,1,1,0,0,0,1,100
MESA,SMART,USD,1,1,0,0,0,1,100
CVX,SMART,USD,1,1,0,0,0,1,100
HWM,SMART,USD,1,1,0,0,0,1,100
GIL,SMART,USD,1,1,0,0,0,1,100
TBLT,SMART,USD,1,1,0,0,0,1,100
MKTX,SMART,USD,1,1,0,0,0,1,100
LGIH,SMART,USD,1,1,0,0,0,1,100
PGR,SMART,USD,1,1,0,0,0,1,100
SABR,SMART,USD,1,1,0,0,0,1,100
ARWR,SMART,USD,1,1,0,0,0,1,100
EPM,SMART,USD,1,1,0,0,0,1,100
FTK,SMART,USD,1,1,0,0,0,1,100
LAUR,SMART,USD,1,1,0,0,0,1,100
HLNE,SMART,USD,1,1,0,0,0,1,100
OC,SMART,USD,1,1,0,0,0,1,100
VAPO,SMART,USD,1,1,0,0,0,1,100
SLRX,SMART,USD,1,1,0,0,0,1,100
PFE,SMART,USD,1,1,0,0,0,1,100
AGO,SMART,USD,1,1,0,0,0,1,100
SHYF,SMART,USD,1,1,0,0,0,1,100
SAH,SMART,USD,1,1,0,0,0,1,100
NG,SMART,USD,1,1,0,0,0,1,100
ETRN,SMART,USD,1,1,0,0,0,1,100
AM,SMART,USD,1,1,0,0,0,1,100
BPTH,SMART,USD,1,1,0,0,0,1,100
TPIC,SMART,USD,1,1,0,0,0,1,100
ZSAN,SMART,USD,1,1,0,0,0,1,100
SIX,SMART,USD,1,1,0,0,0,1,100
CPHI,SMART,USD,1,1,0,0,0,1,100
PATK,SMART,USD,1,1,0,0,0,1,100
WEN,SMART,USD,1,1,0,0,0,1,100
LOW,SMART,USD,1,1,0,0,0,1,100
OKE,SMART,USD,1,1,0,0,0,1,100
TRV,SMART,USD,1,1,0,0,0,1,100
AMSC,SMART,USD,1,1,0,0,0,1,100
HCAT,SMART,USD,1,1,0,0,0,1,100
JBT,SMART,USD,1,1,0,0,0,1,100
DISCK,SMART,USD,1,1,0,0,0,1,100
AFL,SMART,USD,1,1,0,0,0,1,100
PM,SMART,USD,1,1,0,0,0,1,100
FTCH,SMART,USD,1,1,0,0,0,1,100
HOFV,SMART,USD,1,1,0,0,0,1,100
AIM,SMART,USD,1,1,0,0,0,1,100
CAPR,SMART,USD,1,1,0,0,0,1,100
TNL,SMART,USD,1,1,0,0,0,1,100
RIOT,SMART,USD,1,1,0,0,0,1,100
V,SMART,USD,1,1,0,0,0,1,100
LAZR,SMART,USD,1,1,0,0,0,1,100
MVIS,SMART,USD,1,1,0,0,0,1,100
PINS,SMART,USD,1,1,0,0,0,1,100
AVLR,SMART,USD,1,1,0,0,0,1,100
NARI,SMART,USD,1,1,0,0,0,1,100
MARA,SMART,USD,1,1,0,0,0,1,100
HVT,SMART,USD,1,1,0,0,0,1,100
VERI,SMART,USD,1,1,0,0,0,1,100
CRNC,SMART,USD,1,1,0,0,0,1,100
CDE,SMART,USD,1,1,0,0,0,1,100
KNSL,SMART,USD,1,1,0,0,0,1,100
